iter	RMSE
259	1182.090015
260	1180.452744
261	1178.567624
262	1175.928514
263	1173.7868
264	1172.606275
265	1170.596994
266	1169.561786
267	1168.042132
268	1166.457431
269	1164.376695
270	1163.497707
271	1160.536298
272	1157.978999
273	1156.196498
274	1154.873771
275	1151.47998
276	1148.137454
277	1146.980944
278	1144.785376
279	1143.485925
280	1141.343714
281	1140.651989
282	1138.733429
283	1136.907907
284	1135.807354
285	1134.950864
286	1132.901673
287	1131.535035
288	1130.642749
289	1130.085853
290	1128.596973
291	1127.75224
292	1125.593559
293	1124.688632
294	1121.913295
295	1119.295725
296	1118.042048
297	1116.505153
298	1114.109235
299	1112.437996
300	1111.660097
301	1109.392631
302	1109.048008
303	1106.190168
304	1104.192756
305	1101.592841
306	1099.468003
307	1098.363905
308	1097.061746
309	1096.378633
310	1094.987206
311	1093.277073
312	1091.801567
313	1089.641775
314	1088.271508
315	1086.085051
316	1085.075911
317	1083.668698
318	1082.121025
319	1081.059335
320	1079.751593
321	1078.208916
322	1076.489933
323	1073.911204
324	1072.724005
325	1072.351349
326	1071.385603
327	1070.2733
328	1069.197353
329	1068.678644
330	1067.334973
331	1066.792532
332	1064.933187
333	1064.578633
334	1063.775108
335	1061.195286
336	1059.806207
337	1057.938857
338	1056.687434
339	1055.613173
340	1054.619116
341	1053.797299
342	1052.64513
343	1050.197055
344	1047.82866
345	1045.935529
346	1044.7379
347	1043.044347
348	1041.592021
349	1040.355935
350	1037.064092
351	1035.911886
352	1035.294567
353	1032.895037
354	1031.79739
355	1030.753491
356	1029.529827
357	1028.892029
358	1027.868715
359	1026.004036
360	1024.10265
361	1021.841084
362	1020.980118
363	1018.327512
364	1017.460769
365	1015.018699
366	1014.156919
367	1012.244494
368	1011.342202
369	1010.482108
370	1008.559224
371	1006.82931
372	1005.444268
373	1004.634471
374	1003.334416
375	1001.30304
376	999.3706249
377	997.6451824
378	996.5866645
379	995.1816925
380	994.6051464
381	993.7552035
382	992.0447113
383	991.3289182
384	990.0165065
385	988.4923627
386	987.0534491
387	985.1874627
388	983.918688
389	982.3667291
390	980.0304294
391	977.7526605
392	975.868885
393	974.3414179
394	972.8156009
395	971.9118037
396	970.6144734
397	968.1022969
398	966.8648028
399	966.4222078
400	965.1826117
401	963.8639469
402	962.2985636
403	961.0383684
404	959.613449
405	958.2380828
406	957.3339742
407	955.7346383
408	955.1221583
409	954.51813
410	954.0762308
411	952.5783059
412	951.3445116
413	950.8078735
414	949.6055866
415	948.346453
416	946.6167186
417	944.924909
418	944.1244708
419	943.4218439
420	942.6982111
421	941.8622272
422	940.1249547
423	938.5718177
424	937.6191174
425	936.1316234
426	935.7034577
427	934.2347562
428	931.8522338
429	930.5512371
430	929.3032215
431	927.7426442
432	926.2980208
433	924.2845075
434	923.1071035
435	921.4548687
436	920.9080896
437	920.2871371
438	918.8190309
439	917.4060413
440	916.4471506
441	915.9094849
442	914.7674333
443	913.9838412
444	911.576019
445	910.736554
446	910.2012729
447	909.8240357
448	908.6046758
449	907.3564399
450	905.8555187
451	903.539358
452	902.4177147
453	900.7079371
454	899.035693
455	897.4916846
456	895.9747245
457	894.9493205
458	893.0459271
459	891.0751412
460	890.0449829
461	888.7930205
462	887.5973314
463	886.6322941
464	885.8372367
465	885.0628161
466	883.2120648
467	881.5241244
468	880.8644969
469	879.4269787
470	878.0906176
471	877.1027433
472	875.8493367
473	873.9125496
474	873.3297303
475	872.7943125
476	871.1371065
477	870.4269065
478	868.4400207
479	867.9070587
480	866.5306338
481	865.6995523
482	864.5070584
483	863.1963579
484	860.9707149
485	859.8884021
486	857.900335
487	857.0431074
488	855.9134225
489	854.9119764
490	853.4631916
491	852.1354191
492	851.0976103
493	849.9889085
494	849.2101819
495	847.4522269
496	846.638058
497	844.2517525
498	843.3659164
499	842.6744979
